id,author_id,follower_counts,author_location,author_verified,text,date,likes,is_sensitive,views,place,retweet_counts,reply_counts,vibe,keyword,language
1794877896319967395,1486069441259397125,365407,,True,"BREAKING: After getting booed relentlessly last night, Donald Trump has been caught waving at a non-existent audience. It’s almost like he’s trying to stage the moment. Retweet so all Americans see this embarrassing moment.https://t.co/DYUTvjLvQd",2024-05-26 23:46:52+00:00,10413,False,460390,,6045,2404,,Donald Trump,en
1794368296680358126,289865805,197659,"Brooklyn, NY",False,“I’d like to propose that we go tell Donald Trump to go fuck himself” Someone at the Libertarian convention voiced opposition to Donald Trump speaking.   https://t.co/a1yWyRv1fF,2024-05-25 14:01:54+00:00,6347,False,188295,,1273,107,,Donald Trump,en
1793956193049645342,46302096,464887,United States,True,"Let’s be clear:

There is no REAL competition between Trump and Biden.

Trump is running on making America great again.

Biden is running on “be afraid of Donald Trump.”

Trump is running a POSITIVE campaign of hope and restoration.

Biden is running a negative campaign of “hate and fear the MAGA Republicans.”

That’s why STUPID PEOPLE will vote Biden.

COWARDS will vote Biden.

DEAD PEOPLE will vote Biden.

But people who love the American people…

Love their families…
Love their homes…
Love their neighborhoods…

People who LOVE THEIR BANK ACCOUNTS…

Will be voting for Donald Trump.

The Bronx was the Rubicon.

Trump crossed it.

Biden should just concede right now.",2024-05-24 10:44:21+00:00,8956,False,243388,,2027,1366,,Donald Trump,en
1794900255580000740,1486069441259397125,365407,,True,"BREAKING: A clearly confused Donald Trump, after waving at a crowd that didn’t exist, is now saluting for Amazing Grace. It’s beyond clear Donald Trump isn’t mentally well. Retweet so all Americans see this.  https://t.co/aE2CASASw2",2024-05-27 01:15:43+00:00,6035,False,241809,,2914,725,,Donald Trump,en
1794733317411295550,1486069441259397125,365407,,True,"BREAKING: Ken Burns just delivered the clearest and strongest arguments for why we need to stop Donald Trump in November. Burns has long remained politically neutral, but not this time. The stakes are too high. Retweet so all Americans see. https://t.co/Isx7ojUwz6",2024-05-26 14:12:22+00:00,13338,False,768336,,6135,718,,Donald Trump,en
1794553471208665503,1486069441259397125,365407,,True,BREAKING: Donald Trump just asked for the Libertarian Party’s vote and the crowd booed him offstage. Retweet so everyone sees this.  https://t.co/AVctqAXvmX,2024-05-26 02:17:43+00:00,15132,False,368287,,7604,1151,,Donald Trump,en
1794558057147502998,819994707061248001,1107794,United States,True,"For someone like Donald Trump who nearly certainly has narcissistic personality disorder, being booed is going to completely consume his soul for days. 

 https://t.co/M4iXYdNlRd",2024-05-26 02:35:56+00:00,13201,False,362236,,2185,535,,Donald Trump,en
1793406062705459320,62957739,647668,Colombia/USA,True,"Donald Trump recibe apoyo masivo de la policía de Texas. 🇺🇸 Este hombre es el único que puede salvar a Estados Unidos del comunismo. ¿Apoyas al Presidente Trump para que regrese al poder este 2024? ¡Yo, claro que si! https://t.co/15LZIpNLQL",2024-05-22 22:18:19+00:00,10879,False,121271,,2436,215,,Donald Trump,es
1795017096167931970,42670638,401085,"Alexandria, VA",True,"The Democrats have tried so hard to make Donald Trump into the most evil person you can imagine, but those of us who've had the honor of working with him, of knowing Donald Trump, we know he loves America and all of the incredible people in it https://t.co/Dlvs1zpDZt",2024-05-27 09:00:00+00:00,724,False,16378,,211,363,,Donald Trump,en
1794892123298500771,1483596463221264387,43303,"Austin, TX",True,A clearly confused Donald Trump is saluting during Amazing Grace. Why won’t the media cover his cognitive decline? https://t.co/zuJM3ZRsiz,2024-05-27 00:43:24+00:00,2945,False,107130,,765,618,,Donald Trump,en
1794742725427995052,862718426757779457,61122,"Palm Beach, FL",True,"🚨MAJOR LIBERTARIAN GROUP ENDORSES RIGHTFUL PRESIDENT TRUMP AFTER CONVENTION SPEECH!

""I am voting for Donald Trump. First time ever voting for a Republican,"" @PardonRoss wrote after Trump vowed to pardon Ross Ulbricht.

Another major win for Trump!

Share to make this go viral! https://t.co/j5BmI7Lahq",2024-05-26 14:49:45+00:00,8903,False,151845,,3205,301,,Donald Trump,en
1794865086135521737,1012848315744993280,184458,,True,"Last night, Donald Trump pledged to commute my sentence on day 1, if reelected. Thank you. Thank you. Thank you.

After 11 years in prison, it is hard to express how I feel at this moment. It is thanks to your undying support that I may get a second chance.",2024-05-26 22:55:58+00:00,44222,False,3206804,,6572,2003,,Donald Trump,en
1794773691815113069,1486069441259397125,365407,,True,BREAKING: U.S. Army Veterans are now demolishing Donald Trump for his repulsive comments about Veterans. Retweet so everyone sees this devastating attack on Trump. https://t.co/PkKNiTVDcK,2024-05-26 16:52:48+00:00,8068,False,215793,,4760,368,,Donald Trump,en
1794851350570004665,3103505578,302945,,True,"I agree with Nikki Haley, Donald Trump is unstable, unhinged, and unfit for office. https://t.co/znAPuufiqy",2024-05-26 22:01:23+00:00,2728,False,25375,,682,192,,Donald Trump,en
1794884106431738220,1638262165269368846,163256,"Texas, USA",True,"The left hates that Donald Trump made a special appearance at a NASCAR race today.

Nothing is going to stop this man! 🇺🇸

#trump2024 https://t.co/szhQ5CTXcy",2024-05-27 00:11:32+00:00,13670,False,131400,,2363,416,,Donald Trump,en
1794537072889340125,819994707061248001,1107794,United States,True,"This might be the most humiliating night of Donald Trump’s life. 

This is a disaster for his campaign. 

 https://t.co/QXJ5qNREch",2024-05-26 01:12:33+00:00,33039,False,2310890,,6386,1957,,Donald Trump,en
1794893877872312380,862718426757779457,61122,"Palm Beach, FL",True,"The King of NASCAR, Richard Petty, just met The King of New York, Donald Trump.

""You're the best,"" Richard Petty told Trump.

Mayor Eric Adams, you better be taking Diddy's key to NYC and giving it to Rightful President Trump!
https://t.co/UO7xsfrB81",2024-05-27 00:50:22+00:00,1136,False,32892,,306,183,,Donald Trump,en
1793086562118606893,39344374,11202875,"Florida, USA",True,"What's going on here is an absolute farce and anyone in America should be embarrassed at the absolute miscarriage of justice that we're seeing here. This is setting a disastrous precedent for our legal system & for justice in America. 
 https://t.co/5YULMFsblM",2024-05-22 01:08:45+00:00,9167,False,986824,,2327,1684,,Donald Trump,en
1794502739088544062,59862199,30554,,False,"If there's one thing you really have to watch today is this ,Ken Burns calling out Donald Trump https://t.co/fTPmjgv8Oa",2024-05-25 22:56:07+00:00,15163,False,1761867,,6395,421,,Donald Trump,en
